"","487698__39778_43675","309120__28116_882211","840__588_516075","28129__84032_122355","1504__1827099","28116__882211","43770__39492_40520","33034__317_582","84032__122355","163202__410072_487175","1308__626937","28125__179995","839__905","28901__48296","83263__76759_376804","39492__40520","28136__52226_633701","39029__166486_626930","317__582","47879__84030_349096","53440__1590_387661","253239__46506_69825","410072__487175","1597__2741_47715","452084__29375_39484","39778__43675","282685__292_762210","46228__40519_79880","76759__376804","587753__529_101564","29360__1547_39483","52226__633701","166486__626930","202956__216778_1144673","46506__69825","305719__1512_454155","671267__187452_376805","1590__387661","84030__349096","386414__28126_310514","80866__180282","585__28454_1113609","1010__574375_999468","33069__47884","29466__729_536633","59310__310300","29375__39484","79883__28026_33031","290309__33029_33032","191295__36874_626932","28454__1113609","441500__38304_291645","726__1379","173480__1522_36835","1453492__40214_243924","37734__246787_589436","589437__28137_185294","153721__254_1611423","34087__511_196024","40519__79880","45254__39497_328814","216778__1144673","40216__28090_106648","1467__850_437898","574375__999468","588__516075","1512__454155","1401__84026_290588","729__536633","1661032__47877_47880","2139__44749_261299","32013__293_169435","28132__1303_470565","1633__28446_103892","1034636__1304_47770","67269__285_83617","104663__189722_454154","28026__33031","28091__488_1646377","13690__535744","216816__1680_1685","1487956__1506_1725","40214__243924","246787__589436","308892__1735_137732","138595__907_1630","511__196024","187452__376805","39497__328814","28126__310514","33039__29430_52787","38304__291645","39490__818_28117","29370__36847","1582__191493","202611__901_1510","36874__626932","183417__584_28118","1547__39483","405446__1264_29348","488__1646377","53408__328812_1661050","28090__106648","44749__261299","425941__28037_291644","850__437898","358742__1408_197614","293__169435","28137__185294","28446__103892","189722__454154","1352__38986","254__1611423","36848__288965","137591__817_351091","84026__290588","1571__1358_626931","1689__33038_301301","1735__137732","184870__1260_28128","421767__216947_626933","1522__36835","1406__1280_28025","1121298__820_204516","1506__1725","907__1630","1303__470565","818__28117","57706__45851_1465754","136857__39496_216935","33029__33032","1264__29348","102862__479117","47877__47880","316__35833_40324","584__28118","328812__1661050","547163__879_341225","34038__574930","1717__1746653","29461__415956","2741__47715","29430__52787","133926__871324","29355__508460","817__351091","370979__490189","29356__185293","502558__46503_387090","300__470","851__40681","28037__291644","157687__228604","33038__301301","303__1661055_1661059","34062__52773","633417__40215_202955","40215__202955","1661055__1661059","31971__163877","1736__33035_43131","1382__1687","128780__1148157","199__60133","1472__1844653","187491__1859290","1660__1691","39960__237258","28130__76517","1254__1681","1282__39489","1671366__28161_1113922","207340__823_310297","1358__626931","901__1510","39645__294_228603","876__143393","1755629__33043_329854","1408__197614","483012__218538_239935","820__204516","45851__1465754","285__83617","118748__1465521","216947__626933","46503__387090","658457__2173_53412","307126__29552_214856","1670__1265_78342","35833__40324","39496__216935","1260__28128","29524__1535_310298","529__101564","41276__55197","284042__745310","1280__28025","626935__1463864","823__310297","147207__1463837","158787__74426_153151","1680__1685","33035__43131","1613__40518_165179","41976__39485_328813","879__341225","1304__47770","294__228603","33043__329854","218538__239935","114527__562_1515","1559__36745","28161__1113922","371601__208479_1161942","29552__214856","40518__165179","1535__310298","1265__78342","39485__328813","562__1515","2173__53412","39488__187327_1755626","292__762210","208479__1161942","74426__153151","187327__1755626"
"ERR1072629",0,-2.34829495777403,0,0,0,4.06736617802242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.55683864540163,0,0,0,0,-2.19558834030155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.11192982184003,0,0,0,0,0,0,0,0,0,0,0,0,4.4285744405912,0,0,0,0,0,0,0,-3.80287055790811,0,0,0,0,0,0,0,0,0,0.770454578980214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.05233431666097,0,0,0,0,0,0,-2.36991034708369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.28679811814283,0,0,0,0,0,-3.21098297130949,0,0,0,0,-4.10480513053215,0,0,0,0,0,0,0,0,-5.56158564854652,0,0,0,0,0,0,0
"ERR1072724",0,-2.09247042995284,0,0,0,3.62426509801382,0,0,0,0,0,0,0,0,-2.35046290988495,0,0,0,0,0,0,-2.53027435265519,0,0,0,0,0,0,-4.07112118122692,0,0,0,0,0,4.38256373588724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.11601294090561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.08351349651255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.66504192312176,0,0,0,0,0,0,0,0,0,0,0,0,-4.51774861806251,0,0,0,-0.407455486199143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.361207152327161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR1072851",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.63796172731103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.21334895758236,0,0,0,0,0,0,0,0,-3.14978207145566,0,0,0,-1.23514126349113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.83363284941227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.45558258053074,0,0,0,0,0,0,-2.4534931473945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.75284563317961,0,0,0,0,0,0,0,0,0,-4.24957478730936,0,0,0,-4.7680685020612,0,0,-2.86152134130679,0,0,0,-4.95630035008601
"ERR1072937",0,-6.25959964513144,0,-3.26353758397835,0,-0.545260886928588,0,0,-5.65261290786109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.54006044596747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.39951374671172,0,0,0,0,0,0,0,0,-2.54985120749715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.42916792562896,0,0,0,0,0,0,0,0,-2.77877358547811,0,0,0,4.41647184312591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.20744226730605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.81297703277843,0,0,0,0,0,0,0,0,0,0,0,-2.93824640127544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.08919205216547,0,0,0,0,-2.55306289924809,0,0,0,-4.4220346564168
"ERR1073023",0,-2.55136502635113,0,0,0,4.41909385429447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.57503791771213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.46009650489378,0,0,0,0,0,0,0,0,0,0,0,-2.65956680305769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.4152172683371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.60650482901944,0,0,0,0,0,0,0,0,0,0,0,0,-3.00924324738524,0,0,0,-4.18327902007757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.7812753710358,0,0,5.21216219680479,0,0,0,0,0,-2.78549394458798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.81731025247398,0,0,0,0,0,0,0,0,0,0,0,4.82461703620184,-2.81243753019506,0,0,0,-4.87128469541137
"ERR1073081",0,0,-2.28394817201837,0,0,0,-2.3376579185195,-2.82287324153912,0,0,0,0,0,0,0,-4.04894228559148,0,-1.89149522601926,-4.88935987767241,0,0,0,0,0,0,0,0,0,0,0,0,0,3.27616583373934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.95591427578989,0,0,0,-4.14609857608038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.30825754961242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0155770427148574,0,0,0,0,0,0,0,0,0,0,0,5.73007016045203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.18211487970263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.77953383959701,0,0,0,0,0,0,0,0,0,0,0,-2.30281783009659,0,0,0,-3.9885974823028
"ERR1073129",0,-5.23301767262151,0,-2.67424217937974,0,-0.355240796501234,-2.46807769745601,0,-4.63192332642943,0,0,0,0,0,0,4.27483596902141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.51092078353737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.5968004650866,0,0,0,-4.34904237086739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.49779034264848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.30084913695267,0,0,0,0,0,0,0,0,0,0,0,0,0,3.98518760575303,0,0,-3.0158423882143,0,0,0,-5.22359224400703
"ERR1073205",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.90511317343436,0,0,0,0,0,0,0,0,0,0,-2.58009887884926,0,-0.586106676189577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.48683606938876,-2.78295675735549,-5.53042214421839,0,0,4.46886234671842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.84229248155724,0,0,0,0,0,0,0,4.82022249900685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.30732642227622,0,4.92299498802817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.13604646884949,0,0,0,-5.43179181894429
"ERR1073206",0,-2.27485203075958,0,0,0,3.94015929697683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.01658968565074,0,3.12005182547294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.83919086693098,0,0,0,0,0,0,0,0,0,0,3.49283579356644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.18557202634111,0,0,0,-1.82820543423638,0,-3.16356622518385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.16654469877093,-5.47945743512731,-2.29662963008649,0,0,0,0,0,0,0,0,-3.97787920547792,0,-1.99373610910815,0,0,0,-3.45325223786001
"ERR1073394",0,-3.03432137597252,0,0,0,5.25559878967672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.49078316623921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.36485600442715,0,0,0,0.441359993265716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.19122845903714,0,0,0,0,0,0,0,5.82810155982103,0,0,0,0,0,0,-2.28914927125623,0,0,0,0,0,0,0,0,0,0,3.79531902204318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.96492284392506,0,0,0,0,0,0,-2.95607961238915,0,0,0,-5.12008007987652
