"","37734__729_69825","729__69825","196024__46506_239935","1379__536633_589436","47880__47678_310297","46506__239935","29466__169435","1584__1630_329854","47877__1902_1755607","536633__589436","1571__1408_39778","1590__284042_645466","47879__214856_349096","47678__310297","290588__287_397865","317__33069","1630__329854","850__33029_33032","38288__185293_1223514","305719__907_29375","1408__39778","1670__309120_387661","214856__349096","840__179995","1661032__31971_1463837","358742__310298_1465754","43675__28132_470565","84032__40520_351091","1282__39489","38286__441500","481743__1401_1113741","157687__228604","199__60133","1401__1113741","287__397865","1844653__28127_261299","562__166486_301301","29360__33035_39483","53440__1535_39497","34038__28118_633701","1512__1559_36745","1746653__1311_29524","1547__821_1755626","308892__182710_421767","1453492__28454_243924","28038__582_454154","29355__44749_626937","34087__511_291645","907__29375","82135__78342_189722","33935__108980_310514","588__516075","310298__1465754","88688__488_437898","40520__351091","28127__261299","477666__28135_884684","1535__39497","1725__1487956","41276__202955_999468","106648__454155_626932","288965__1280_39496","589437__585_28137","153721__33034_1611423","582__454154","1358__28116_204516","487698__40324_1646377","202956__28090_271420","202611__1303_1308","245__101070_405446","56810__13690_76517","43263__1260_28125","44749__626937","1010__2088","309120__387661","185293__1223514","626933__28026_28037","821__1755626","137591__1113609","28118__633701","77095__852_28129","32013__80866_103621","67269__285_83617","1522__376805","2741__1597_1034636","39029__28126_1827099","53408__1661050","166486__301301","78342__189722","182710__421767","185294__584_1264","316__1428","28454__243924","136857__43770_216940","101564__871324","39490__147802","488__437898","191295__470_588932","1229909__187327_218538","511__291645","40216__29430_310300","53412__658457","35825__36874_184870","33035__39483","40681__1510_376806","2173__70775","29370__36847","83263__76759_626931","1267__39484_387090","876__40519_216778","40324__1646377","33029__33032","28116__204516","33039__818_39492","454155__626932","108980__310514","483012__1680_29348","28091__187452","1687__633417","28026__28037","78257__1148157","1691__202952","237258__574930","216935__376804","1307__33964","1260__28125","1902__1755607","13690__76517","102862__183417","284042__645466","220687__1463864","31971__1463837","93064__267818","574375__871325","47715__189381","425941__860_328814","225991__40518_122355","38304__1121830","1352__1265_1582","585__28137","1280__39496","202955__999468","28090__271420","28135__884684","1311__29524","40215__487316","856__1755629","33034__1611423","851__153151","584__1264","1532__263475","187327__218538","1660__535744","300__471","106654__307126","76853__28901_882211","1303__1308","84112__28446_52226","1597__1034636","29461__40214_328812","290309__817_216816","852__28129","84030__103892","28132__470565","80866__103621","59310__1685_33038","101070__405446","39484__387090","1465521__1735_28128","682179__293_52787","76759__626931","28126__1827099","1144673__28111_33043","818__39492","46228__1515_246787","29430__310300","1506__28025","1510__376806","470__588932","285__83617","45067__823_46503","1680__29348","40519__216778","36874__184870","40518__122355","57706__43131_47770","860__328814","43770__216940","216947__357276","143393__820_39485","1265__1582","1254__36835","817__216816","79882__294_29552","29356__191493","28901__882211","28130__208479_410072","40214__328812","28446__52226","1685__33038","1735__28128","839__165179_487175","28111__33043","293__52787","1515__246787","1304__35833_45851","823__46503","1559__36745","386414__328813_1161942","40543__1623_100884","820__39485","43131__47770","294__29552","165179__487175","208479__410072","35833__45851","1623__100884","328813__1161942"
"ERR1072629",0,0,-2.36991459400048,0,0,-4.1048124864078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.3335580785505,0,0,0,0,0,0,0,0,0,0,0,-2.19559258721833,0,0,-3.35863453022396,0,0,0,0,0,0,0,0,0,0,0,-4.04184115446226,0,0,0,0,0,0,0,0,0,0,-2.34829920469081,0,0,0,0,0,0,0,0,0,0,0,5.81732565040313,0,3.80287791378376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.06737353389807,-2.55684289231841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.7783802371231,0,0,0,0,0,0,0,0,0,0,0,0,4.42858179646685,0,0,0,0,0,0,-3.05233856357775,0,0,0,0,0,0,0,0,0,0,0,4.81229573344248,0,0,0,0,0,0,0,0,0,0,0,0,0,5.28680547401848,0,-3.21098721822627,0,0,0,0,0,0,0,0,5.56159300442216
"ERR1072724",0,0,-2.53027859957198,0,0,4.38257109176289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.96801338691809,0,0,-2.11601718782239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.6650492789974,-4.24708170950301,0,0,0,0,0,0,0,0,0,0,0,5.14074998368671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.107616396976775,-1.92413872785313,0,0,0,0,0,0,0,0,0,-4.07112853710257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33270603745256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.36315007926269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0930960031934,0,0,0,0,0,0,0
"ERR1072787",0,0,-5.05817107010394,0,0,-1.07284745280332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.38995360943565,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.47514683659753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.277287519410625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.53754725455905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.22431751858141,0,0,0,0,-4.2870800771803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.39516077150319,0,0,0,0,0,0,-2.19692099687703,0,0,0,0,0,0,0,0,-2.46055648634072,3.85263095434853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.80517878680588,0,0,0,4.26180884923528,0,0,0,0,0,0,0
"ERR1072851",0,0,0,0,0,0,0,0,0,0,0,0,-2.45349739431129,0,-2.41961410306069,0,0,0,0,0,0,0,4.24958214318501,0,0,0,0,-2.21335320449915,0,0,0,0,0,0,-4.19089456121131,0,0,0,0,0,0,0,-6.12624814166708,0,0,0,0,0,0,0,0,0,0,0,-3.83364020528791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.698357629218492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.46243054009039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.26505480554583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.14978631837244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.75284988009639,0,5.45558993640639,0,0,0,0,0,0,4.76807585793685
"ERR1073081",0,0,0,0,4.13711366010935,0,0,0,4.15510047971855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.33766216543628,0,0,0,0,0,0,0,0,-1.89149947293605,0,0,0,0,0,-2.30282207701337,0,0,-2.82287748845591,0,0,0,0,0,3.95592163166553,0,0,4.04894964146713,0,0,0,0,0,0,0,0,0,4.88936723354806,0,0,0,0,0,0,0,0,0,0,0,0,-3.98860483817845,0,0,0,0,0,0,0,0,0,3.27617318961499,0,0,0,0,0,0,0,0,0,0,-2.18211912661942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.77954119547265,0,0,0,0,0,0,0,0,-3.3082617965292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.73007751632767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR1073129",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.1319585787596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.51396389848398,0,0,0,0,0,0,0,0,0,0,0,0.173664608554127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.35431320056817,-2.46808194437279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.67424642629652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.7190622679711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.27484332489706,0,0,0,0,0,0,0,0,0,0,-4.63193068230508,0,0,0,0,-4.89765809587284,0,0,0,0,0,-4.70955399706941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.512602736895446,0,0,0,0,0,0,0
"ERR1073205",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.13605071576628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11533466683065,0,0,-2.48684031630555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.43179917481993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.58010312576604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.51545238067252,0,4.30733377815187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.46886970259406,0,0,0,0,0,0,-2.84229672847403,0,0,0,0,0,0,0,0,-2.78296100427228,-4.3568913273449,0,0,0,-4.94299800353448,0,0,0,0,0,0,0,0,0,0,0,4.92300234390381,0,0,0,4.82022985488249,0,0,0,0,0,0,0
"ERR1073206",0,0,-3.16357047210063,0,0,-5.47946479100296,0,-1.82820968115316,0,0,0,0,0,0,0,0,-3.16655205464658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.22744361315362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.40353395001917,0,0,0,0,0,0,0,0,0,0,0,0.415627936643313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.94016665285248,-2.01659393256753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.80136700823917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.49284314944208,-2.29663387700328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.12005918134859,0,0,0,0,0,0,0,0,0,0,0,0,0,3.97788656135357,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR1073318",-1.81660957399539,-3.14646007967607,-5.01613134815667,0,0,-2.54147273572343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.74575794150597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.85152343424895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2069326595236,-1.77440569002433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.30169923026995,0,0,0,0,0,0,0,0,0,0,0,0,3.07336080836145,0,0,0,0,0,0,-2.3843797874328,0,0,0,0,0,0,0,0,0,0,0,3.98666001056973,0,0,0,-1.7600070904998,0,0,0,0,0,0,0,0,0,4.1298669363739,0,0,0,0,0,0,0,3.04842170242712,0,0,0
"ERR1073450",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.24760330756863,0,0,0,-2.28800163325015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.61615776032998,0,0,0,0,0,0,3.96293507658984,0,0,0,0,-0.142500244732098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.53131816150713,-2.78964520616526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.38564839880895,-4.83180723216919,-2.51522190179168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.13206423573245,0,4.35649212621321,0,0,0,0,0,0,0,0,0,0,0,0,0
