"","33038__329854","1547__349096","39484__78342","1661050__40324_216778","1582__328814","48296__487175_1646377","243924__28026_1827099","40324__216778","40214__28901_46503","905__309120","1280__28025","28038__470_1561","1681__861_341225","28132__470565","487175__1646377","76759__28117_261299","28026__1827099","626933__1687_33037","185294__589437","180282__70775_658457","38286__441500","157687__228604","45067__40681_46867","28901__46503","376805__1264_1358","77095__28091_187452","104663__196024_1611423","28117__261299","1453492__28454_1113609","2088__1510_626937","876__187327_218538","36848__169435_626931","1311__1691_29354","82135__28118_626932","1010__317_33069","310300__1902_157692","32013__225991","36835__97478_251535","490189__511_370979","28454__1113609","1401__1559_36745","245__387661_405446","1264__1358","1303__28037_29466","60133__1308_28125","386414__28130_76517","67269__850_108980","1282__28126_29356","28090__40216_202956","421767__316_47880","290309__80866_101564","38986__40518_47678","1571__47884_189722","588__516075","33029__33032","187327__218538","471__106654","1597__39496_574375","187491__1522_36874","290588__43770_79880","28091__187452","1260__28116_536633","169435__626931","173480__1535_246787","1510__626937","38304__310514","28118__626932","1467__182710_487698","2741__1254_1590","239974__1504_633701","1506__384638_1121298","387661__405446","1487956__1307_1725","308892__1532_137732","196024__1611423","191295__305719_588932","45254__39485_39492","56810__37734_376804","1308__28125","1844653__1379_41976","83617__28446_36847","1859290__483012_1223514","47884__189722","103892__535744","1580__29348_301301","70775__658457","40518__47678","47770__59310","301__166486_626930","29370__53408","1522__36874","1535__246787","1267__1584_216935","28126__29356","1428__184870","28116__536633","34038__1352_43131","28037__29466","511__370979","850__108980","80866__101564","1307__1725","35825__901_29552","488__729_39778","856__46506_589436","39485__39492","1504__633701","118748__1735_35833","2139__33031","28127__39486","202611__33034_39497","143393__185293","305719__588932","1254__1590","317__33069","29348__301301","860__425941","182710__487698","37734__376804","1379__41976","316__47880","483012__1223514","43770__79880","1532__137732","39490__1515_44749","384638__1121298","47879__28111_351091","166486__626930","46506__589436","1584__216935","38288__1630_100884","376806__671267","33935__1755607","88688__76853_218284","587753__33043_882211","1633__585_1680","470__1561","40681__46867","861__341225","271420__1144673","33039__293_52787","1735__35833","163877__1121830","28130__76517","1687__33037","29524__1148157","1691__29354","901__29552","745310__39645_105229","191610__40543_284042","39645__105229","208596__2751_147709","76853__218284","703__263475","2751__147709","29461__871324","1727__46228","481743__1113741","1902__157692","40216__202956","153151__270498","97478__251535","40543__284042","55197__122355_216816","851__163665_1113922","39496__574375","547163__1685_437898","207340__1623_328812","137591__287_310298","1352__43131","28128__101070","1496__208479_410072","28131__562_28112","479117__584_839","102862__183417","729__39778","28111__351091","204516__820_821","33034__39497","1630__100884","1515__44749","57706__907_40519","52226__40520_69825","114527__45851_214856","1304__84032_291644","585__1680","28446__36847","33043__882211","1559__36745","122355__216816","293__52787","1685__437898","1623__328812","287__310298","1113709__823_310297","208479__410072","584__839","33035__84030_387090","879__165179_239935","907__40519","40215__328813_1161942","45851__214856","40520__69825","562__28112","106648__817_454154","84032__291644","197614__818_1755626","163665__1113922","823__310297","820__821","84030__387090","165179__239935","328813__1161942","817__454154","818__1755626"
"ERR1072629",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.19559099462972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.34829761210219,0,0,0,0,3.80287515533936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.06737077545367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.33355648596188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.04183839601786,-3.35863293763535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.05233697098914,0,0,0,-2.36991300141186,0,-3.21098562563766,0,0,0,-2.77837864453448,0,-2.55684129972979,0,5.28680271557408,-5.81732289195873,0,-4.1048097279634,5.56159024597776,4.81229297499808,4.42857903802245
"ERR1072724",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.15938166990438,0,0,0,0,0,0,0,0,0,0,0,3.74015876520731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.09247308428101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.35046556421312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.62426969544506,0,0,0,0,0,0,0,0,-2.53027700698336,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.07112577865817,0,0,0,0,0,0,0,0,0,4.38256833331849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.02194940091401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.11601559523378,0,-1.92413713526451,0,0,-1.04765398049331,0,0,0,-3.665046520553,3.33270327900816
"ERR1072851",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.17553808846559,0,0,0,0,0,0,0,0,0,0,0,5.50019331059256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.21335161191053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.83363744684351,-6.41450568663871,0,0,0,0,0,-2.45349580172267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.75284828750778,-4.24957938474061,0,0,0,0,-5.32395294313674,0,0,-0.199075398773759,0,0,4.76807309949245,0,-0.691252900415825
"ERR1073081",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.1821175340308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.06855523746606,0,0,0,3.95591887322113,0,-3.77953843702825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.89149788034743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.58284276955391,0,0,0,0,0,0,3.27617043117059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.33766057284767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.04894688302273,0,-3.30826020394059,0,-2.30282048442476,0,0,0,0,0,0,5.73007475788327,-3.98860207973405
"ERR1073129",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.51092343786554,0,0,0,0,0,0,0,0,0,0,0,4.34904696829863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.51396230589536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.76893214306501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.35431044212377,0,0,0,0,0,0,0,0,0,-0.289648363268385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.71906067538248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.67424483370791,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.71291347045467,0,0,0,0,0,0,0,0,0,-4.70955123862501,0,4.63192792386068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.01584504254247,0,0,-0.89946650991268,0,0,0,0,-5.22359684143827
"ERR1073205",0,0,0,0,4.3568885689005,0,0,0,0,0,4.30733101970747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.90511582776253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.53042674164963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.78295941168366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.84229513588541,0,0,0,0,0,0,0,0,0,0,0,-5.71615065635509,0,4.92299958545941,4.82022709643809,0,0,0,0,-0.962929472225872
"ERR1073206",-3.16654929620217,0,0,0,3.12005642290419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.83919352125915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.18557662377236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.27485468508775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.94016389440808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.29663228441466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.23370166454007,0,0,3.97788380290917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.16356887951202,0,0,0,0,0,0,0,-4.01033110341523,0,0,-3.86888477193457,0,-5.47946203255856,0,0,0.0395835557064271
"ERR1073318",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.85152184166034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2069299010792,0,0,0,0,0,0,0,0,-1.77440409743571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.07335804991705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.76000549791118,0,0,0,0,0,0,0,0,0,0,-1.81660798140677,0,0,0,0,0,0,0,0,0,0,0,-2.38437819484419,3.04841894398272,0,0,-3.24172406554373,0,0,0,-3.14645732123167,0,-2.30169763768133,0,-1.77440409743571,0,4.1298641779295,0,0,-5.61483078564048,0,3.98665725212533,3.07335804991705
"ERR1073450",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.36603620508443,0,0,0,0,0,0,0,0,0,0,0,4.09809491975369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.61615616774136,0,0,0,0,0,0,0,0,-2.34694327524698,0,0,0,0,0,-2.78964361357664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.53131540306273,0,0,0,0,0,0,0,0,0,-4.83180447372479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.8032203498646,4.06502499520987,0,0,0,0,0,0,0,0,-2.38564680622034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.08266378386787,0,0,0.393557049623374,0,0,0,0,0,0,4.13206147728805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.16493633852353,0,0,-5.33933029631167,0,0,0,0,-5.48183054104377
"ERR1073655",0,0,0,0,0,0,0,0,-2.12432164807307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.67943302608101,0,0,0,0,0,0,-1.94010096913034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.36035345034737,0,0,0,0,0,-1.49048987425072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5816041903692,0,0,0,0,0,0,0,0,-1.70299716864809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94967762124444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.10066685125284,0,0,0,3.29640125020492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.11580065259814,0,0,0,0,0,-2.30615292455155,0,0,-0.505605013623849,0,0,3.66467422898737,0,-3.99437403534684
